id,created_at,text
865203712750493696,2017-05-18 13:53:34,Can you tell me how to contact her directly? @ghelmy I'd like to help. https://t.co/2gmdK1EfW2
865070848868311041,2017-05-18 05:05:37,I am grateful to you all for your advocacy and leadership. https://t.co/TGwm2o0CBe
865070511373594624,2017-05-18 05:04:16,@allianceaction Thank you!
865070414824910848,2017-05-18 05:03:53,RT @JDSalant: .@realDonaldTrump transportation chief tells @CoryBooker that Gateway tunnel is 'absolute priority' https://t.co/Atf9Hq5tn4
865070386962202624,2017-05-18 05:03:47,"RT @ghelmy: Responding to @corybooker questioning at hearing,Trump transportation chief calls Gateway tunnel 'absolute priority' https://t.…"
865070276840652800,2017-05-18 05:03:20,@hoosiers23 Hope to see you there! Go NVOT!
865069172560154624,2017-05-18 04:58:57,@Marc_Leibowitz @AeroFarms @CityofNewarkNJ @rasjbaraka I am very proud of this.
865067991037247488,2017-05-18 04:54:15,@uglycutie @sanfrancis https://t.co/Y4yi2SB8jM
865067261165527041,2017-05-18 04:51:21,@uglycutie @sanfrancis See legislation I wrote and cosponsored: https://t.co/Y4yi2SB8jM
865066879588741121,2017-05-18 04:49:50,@uglycutie @sanfrancis Please take time to read: https://t.co/dYXnIWs3rV
864994623726505985,2017-05-18 00:02:43,"RT @CBSNews: As special counsel, Mueller will be given civil service protections; won't be able to be removed by the president, @stevenport…"
864994567367667714,2017-05-18 00:02:30,"RT @tonyposnanski: To the Wash Post, NY Times, CNN, and all Trump calls FAKE..

Thank you. Without your reporting, we wouldn't have a speci…"
864987755679535105,2017-05-17 23:35:26,RT @SenBookerOffice: 👍🏽 https://t.co/7Zi5vv7o2L
864962243489869824,2017-05-17 21:54:03,#HorizonsGivingDay is a way to help close the achievement gap for at-risk kids. Please support Horizons Newark: https://t.co/U2zkyTiaZE
