source,id_str,text,created_at,retweet_count,in_reply_to_user_id_str,favorite_count,is_retweet
Twitter Ads,8.60E+17,It was a GREAT day for the United States of America! This is a great plan that is a repeal &amp; replace of ObamaCare.… https://t.co/0TnmLn55Lm,Fri May 05 02:55:02 +0000 2017,12895,,59344,FALSE
Twitter for iPhone,8.60E+17,If victorious Republicans will be having a big press conference at the beautiful Rose Garden of the White House immediately after vote!,Thu May 04 18:07:29 +0000 2017,8523,,49578,FALSE
Twitter for iPhone,8.60E+17,Insurance companies are fleeing ObamaCare - it is dead. Our healthcare plan will lower premiums &amp; deductibles - and be great healthcare!,Thu May 04 17:56:51 +0000 2017,12550,,58518,FALSE
Twitter for iPhone,8.60E+17,"I am watching the Democrats trying to defend the ""you can keep you doctor you can keep your plan &amp; premiums will go down"" ObamaCare lie.""",Thu May 04 17:43:11 +0000 2017,14710,,61931,FALSE
Twitter for iPhone,8.60E+17,Beautiful evening with Religious Leaders here at the WH last night. Join us now for a #NationalDayofPrayer LIVE:… https://t.co/b8j1tWZJuv,Thu May 04 15:26:00 +0000 2017,8247,,37500,FALSE
Twitter for iPhone,8.60E+17,Death spiral!'Aetna will exit Obamacare markets in VA in 2018 citing expected losses on INDV plans this year'https://t.co/5YnzDitF8r,Thu May 04 12:28:39 +0000 2017,8316,,29900,FALSE
Twitter for iPhone,8.60E+17,RT @foxandfriends: President Trump to sign an executive order on religious liberty today the National Day of Prayer | @kevincorke https://…,Thu May 04 11:09:26 +0000 2017,10294,,0,TRUE
Twitter for iPhone,8.60E+17,Congratulations to @foxandfriends on its unbelievable ratings hike.,Thu May 04 11:07:35 +0000 2017,6803,15513604,38152,FALSE
Twitter for iPhone,8.60E+17,The Fake News media is officially out of control. They will do or say anything in order to get attention - never been a time like this!,Thu May 04 11:02:54 +0000 2017,18989,,73822,FALSE
Twitter for iPhone,8.60E+17,...allegations of unmasking Trump transition officials. Not good!,Thu May 04 10:49:10 +0000 2017,9539,,41056,FALSE
Twitter for iPhone,8.60E+17,Susan Rice the former National Security Advisor to President Obama is refusing to testify before a Senate Subcommittee next week on.....,Thu May 04 10:40:33 +0000 2017,13998,,47219,FALSE
